"Zone","Post.Code","Destination.zone","State"
"Sydney","1216","Inter State Capital","NSW"
"Sydney","1217","Inter State Capital","NSW"
"Sydney","1218","Inter State Capital","NSW"
"Sydney","1219","Inter State Capital","NSW"
"Sydney","1220","Inter State Capital","NSW"
"Sydney","1221","Inter State Capital","NSW"
"Sydney","1222","Inter State Capital","NSW"
"Sydney","1223","Inter State Capital","NSW"
"Sydney","1224","Inter State Capital","NSW"
"Sydney","1225","Inter State Capital","NSW"
"Sydney","1226","Inter State Capital","NSW"
"Sydney","1227","Inter State Capital","NSW"
"Sydney","1228","Inter State Capital","NSW"
"Sydney","1229","Inter State Capital","NSW"
"Sydney","1230","Inter State Capital","NSW"
"Sydney","1231","Inter State Capital","NSW"
"Sydney","1232","Inter State Capital","NSW"
"Sydney","1233","Inter State Capital","NSW"
"Sydney","1234","Inter State Capital","NSW"
"Sydney","1235","Inter State Capital","NSW"
"Sydney","1236","Inter State Capital","NSW"
"Sydney","1237","Inter State Capital","NSW"
"Sydney","1238","Inter State Capital","NSW"
"Sydney","1239","Inter State Capital","NSW"
"Sydney","1240","Inter State Capital","NSW"
"Sydney","1241","Inter State Capital","NSW"
"Sydney","1242","Inter State Capital","NSW"
"Sydney","1243","Inter State Capital","NSW"
"Sydney","1244","Inter State Capital","NSW"
"Sydney","1245","Inter State Capital","NSW"
"Sydney","1246","Inter State Capital","NSW"
"Sydney","1247","Inter State Capital","NSW"
"Sydney","1248","Inter State Capital","NSW"
"Sydney","1249","Inter State Capital","NSW"
"Sydney","1250","Inter State Capital","NSW"
"Sydney","1251","Inter State Capital","NSW"
"Sydney","1252","Inter State Capital","NSW"
"Sydney","1253","Inter State Capital","NSW"
"Sydney","1254","Inter State Capital","NSW"
"Sydney","1255","Inter State Capital","NSW"
"Sydney","1256","Inter State Capital","NSW"
"Sydney","1257","Inter State Capital","NSW"
"Sydney","1258","Inter State Capital","NSW"
"Sydney","1259","Inter State Capital","NSW"
"Sydney","1260","Inter State Capital","NSW"
"Sydney","1261","Inter State Capital","NSW"
"Sydney","1262","Inter State Capital","NSW"
"Sydney","1263","Inter State Capital","NSW"
"Sydney","1264","Inter State Capital","NSW"
"Sydney","1265","Inter State Capital","NSW"
"Sydney","1266","Inter State Capital","NSW"
"Sydney","1267","Inter State Capital","NSW"
"Sydney","1268","Inter State Capital","NSW"
"Sydney","1269","Inter State Capital","NSW"
"Sydney","1270","Inter State Capital","NSW"
"Sydney","1271","Inter State Capital","NSW"
"Sydney","1272","Inter State Capital","NSW"
"Sydney","1273","Inter State Capital","NSW"
"Sydney","1274","Inter State Capital","NSW"
"Sydney","1275","Inter State Capital","NSW"
"Sydney","1276","Inter State Capital","NSW"
"Sydney","1277","Inter State Capital","NSW"
"Sydney","1278","Inter State Capital","NSW"
"Sydney","1279","Inter State Capital","NSW"
"Sydney","1280","Inter State Capital","NSW"
"Sydney","1281","Inter State Capital","NSW"
"Sydney","1282","Inter State Capital","NSW"
"Sydney","1283","Inter State Capital","NSW"
"Sydney","1284","Inter State Capital","NSW"
"Sydney","1285","Inter State Capital","NSW"
"Sydney","1286","Inter State Capital","NSW"
"Sydney","1287","Inter State Capital","NSW"
"Sydney","1288","Inter State Capital","NSW"
"Sydney","1289","Inter State Capital","NSW"
"Sydney","1290","Inter State Capital","NSW"
"Sydney","1291","Inter State Capital","NSW"
"Sydney","1292","Inter State Capital","NSW"
"Sydney","1293","Inter State Capital","NSW"
"Sydney","1294","Inter State Capital","NSW"
"Sydney","1295","Inter State Capital","NSW"
"Sydney","1296","Inter State Capital","NSW"
"Sydney","1297","Inter State Capital","NSW"
"Sydney","1298","Inter State Capital","NSW"
"Sydney","1299","Inter State Capital","NSW"
"Sydney","1300","Inter State Capital","NSW"
"Sydney","1301","Inter State Capital","NSW"
"Sydney","1302","Inter State Capital","NSW"
"Sydney","1303","Inter State Capital","NSW"
"Sydney","1304","Inter State Capital","NSW"
"Sydney","1305","Inter State Capital","NSW"
"Sydney","1306","Inter State Capital","NSW"
"Sydney","1307","Inter State Capital","NSW"
"Sydney","1308","Inter State Capital","NSW"
"Sydney","1309","Inter State Capital","NSW"
"Sydney","1310","Inter State Capital","NSW"
"Sydney","1311","Inter State Capital","NSW"
"Sydney","1312","Inter State Capital","NSW"
"Sydney","1313","Inter State Capital","NSW"
"Sydney","1314","Inter State Capital","NSW"
"Sydney","1315","Inter State Capital","NSW"
"Sydney","1316","Inter State Capital","NSW"
"Sydney","1317","Inter State Capital","NSW"
"Sydney","1318","Inter State Capital","NSW"
"Sydney","1319","Inter State Capital","NSW"
"Sydney","1320","Inter State Capital","NSW"
"Sydney","1321","Inter State Capital","NSW"
"Sydney","1322","Inter State Capital","NSW"
"Sydney","1323","Inter State Capital","NSW"
"Sydney","1324","Inter State Capital","NSW"
"Sydney","1325","Inter State Capital","NSW"
"Sydney","1326","Inter State Capital","NSW"
"Sydney","1327","Inter State Capital","NSW"
"Sydney","1328","Inter State Capital","NSW"
"Sydney","1329","Inter State Capital","NSW"
"Sydney","1330","Inter State Capital","NSW"
"Sydney","1331","Inter State Capital","NSW"
"Sydney","1332","Inter State Capital","NSW"
"Sydney","1333","Inter State Capital","NSW"
"Sydney","1334","Inter State Capital","NSW"
"Sydney","1335","Inter State Capital","NSW"
"Sydney","1336","Inter State Capital","NSW"
"Sydney","1337","Inter State Capital","NSW"
"Sydney","1338","Inter State Capital","NSW"
"Sydney","1339","Inter State Capital","NSW"
"Sydney","1340","Inter State Capital","NSW"
"Sydney","1341","Inter State Capital","NSW"
"Sydney","1342","Inter State Capital","NSW"
"Sydney","1343","Inter State Capital","NSW"
"Sydney","1344","Inter State Capital","NSW"
"Sydney","1345","Inter State Capital","NSW"
"Sydney","1346","Inter State Capital","NSW"
"Sydney","1347","Inter State Capital","NSW"
"Sydney","1348","Inter State Capital","NSW"
"Sydney","1349","Inter State Capital","NSW"
"Sydney","1350","Inter State Capital","NSW"
"Sydney","1351","Inter State Capital","NSW"
"Sydney","1352","Inter State Capital","NSW"
"Sydney","1353","Inter State Capital","NSW"
"Sydney","1354","Inter State Capital","NSW"
"Sydney","1355","Inter State Capital","NSW"
"Sydney","1356","Inter State Capital","NSW"
"Sydney","1357","Inter State Capital","NSW"
"Sydney","1358","Inter State Capital","NSW"
"Sydney","1359","Inter State Capital","NSW"
"Sydney","1360","Inter State Capital","NSW"
"Sydney","1361","Inter State Capital","NSW"
"Sydney","1362","Inter State Capital","NSW"
"Sydney","1363","Inter State Capital","NSW"
"Sydney","1364","Inter State Capital","NSW"
"Sydney","1365","Inter State Capital","NSW"
"Sydney","1366","Inter State Capital","NSW"
"Sydney","1367","Inter State Capital","NSW"
"Sydney","1368","Inter State Capital","NSW"
"Sydney","1369","Inter State Capital","NSW"
"Sydney","1370","Inter State Capital","NSW"
"Sydney","1371","Inter State Capital","NSW"
"Sydney","1372","Inter State Capital","NSW"
"Sydney","1373","Inter State Capital","NSW"
"Sydney","1374","Inter State Capital","NSW"
"Sydney","1375","Inter State Capital","NSW"
"Sydney","1376","Inter State Capital","NSW"
"Sydney","1377","Inter State Capital","NSW"
"Sydney","1378","Inter State Capital","NSW"
"Sydney","1379","Inter State Capital","NSW"
"Sydney","1380","Inter State Capital","NSW"
"Sydney","1381","Inter State Capital","NSW"
"Sydney","1382","Inter State Capital","NSW"
"Sydney","1383","Inter State Capital","NSW"
"Sydney","1384","Inter State Capital","NSW"
"Sydney","1385","Inter State Capital","NSW"
"Sydney","1386","Inter State Capital","NSW"
"Sydney","1387","Inter State Capital","NSW"
"Sydney","1388","Inter State Capital","NSW"
"Sydney","1389","Inter State Capital","NSW"
"Sydney","1390","Inter State Capital","NSW"
"Sydney","1391","Inter State Capital","NSW"
"Sydney","1392","Inter State Capital","NSW"
"Sydney","1393","Inter State Capital","NSW"
"Sydney","1394","Inter State Capital","NSW"
"Sydney","1395","Inter State Capital","NSW"
"Sydney","1396","Inter State Capital","NSW"
"Sydney","1397","Inter State Capital","NSW"
"Sydney","1398","Inter State Capital","NSW"
"Sydney","1399","Inter State Capital","NSW"
